Ticket #,date_time, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,Truck #_clean,tax_exempt,id_truck,id_mat,material,id_cust,Trucksize
172460,2026-03-24T07:57:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172461,2026-03-24T08:00:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172462,2026-03-24T08:01:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172463,2026-03-24T08:08:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172464,2026-03-24T08:14:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172465,2026-03-24T08:20:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DC36,N,40,18.0,Other Clean Hard Fill,106,Axle 4_5
172466,2026-03-24T08:21:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ04,N,258,18.0,Other Clean Hard Fill,95,TriAxle
172467,2026-03-24T08:24:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172468,2026-03-24T08:28:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172469,2026-03-24T08:38:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172470,2026-03-24T08:39:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172471,2026-03-24T08:43:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172472,2026-03-24T08:46:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172473,2026-03-24T08:54:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172474,2026-03-24T08:55:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DON08,N,208,18.0,Other Clean Hard Fill,106,Axle 4_5
172475,2026-03-24T08:56:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172476,2026-03-24T09:12:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,MAK23,N,98,18.0,Other Clean Hard Fill,106,Axle 4_5
172477,2026-03-24T09:14:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172478,2026-03-24T09:15:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172479,2026-03-24T09:18:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172480,2026-03-24T09:23:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172481,2026-03-24T09:27:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172482,2026-03-24T09:31:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV7,Y,56,11.0,Broken Concrete,93,Axle 4_5
172483,2026-03-24T09:43:00,$75.00 ,Credit Card Sales,Credit-MS Cement,Credit-MS Cement,other clean hard fill,IN,2026,MSC1,N,275,18.0,Other Clean Hard Fill,40,Axle 1
172484,2026-03-24T09:49:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172485,2026-03-24T09:49:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV5,Y,54,11.0,Broken Concrete,93,Axle 4_5
172486,2026-03-24T09:53:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV11,Y,49,11.0,Broken Concrete,93,Axle 4_5
172487,2026-03-24T09:55:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,10FP,Y,213,11.0,Broken Concrete,93,Axle 4_5
172488,2026-03-24T09:57:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ02,N,255,18.0,Other Clean Hard Fill,95,TriAxle
172489,2026-03-24T09:59:00,$165.00 ,Petty Group LLC,Woodhill Roads PH1 (2720),2720,other clean hard fill,IN,2026,DC36,N,40,18.0,Other Clean Hard Fill,106,Axle 4_5
172490,2026-03-24T10:03:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,DEV10,Y,48,11.0,Broken Concrete,93,Axle 4_5
172491,2026-03-24T10:05:00,$165.00 ,Shook Construction Co. ,Bedford,Bedford,other clean hard fill,IN,2026,RL07,N,241,18.0,Other Clean Hard Fill,121,Axle 4_5
172492,2026-03-24T10:06:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ04,N,258,18.0,Other Clean Hard Fill,95,TriAxle
172493,2026-03-24T10:07:00,$165.00 ,Shook Construction Co. ,Bedford,Bedford,other clean hard fill,IN,2026,RL14,N,216,18.0,Other Clean Hard Fill,121,Axle 4_5
