id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3873,DT-2026-001201,2026,1201,IN,2026-02-26T09:36:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3874,DT-2026-001202,2026,1202,IN,2026-02-26T09:36:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,17.0,CS002,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3875,DT-2026-001203,2026,1203,IN,2026-02-26T09:42:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3876,DT-2026-001204,2026,1204,IN,2026-02-26T09:42:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,234.0,DON02,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3877,DT-2026-001205,2026,1205,OUT,2026-02-26T09:56:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3878,DT-2026-001206,2026,1206,IN,2026-02-26T10:06:00,3951.0,7383,CHIA Fence '25-'27 (7383),Petty Group LLC,126.0,MEHYD,23.0,Slop,1.0,Load,,,,N,500.0,True,
3879,DT-2026-001207,2026,1207,IN,2026-02-26T10:11:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,42.0,DEL03,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3880,DT-2026-001208,2026,1208,IN,2026-02-26T10:25:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3881,DT-2026-001209,2026,1209,IN,2026-02-26T10:28:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3882,DT-2026-001210,2026,1210,IN,2026-02-26T10:34:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,54.0,DEV5,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
